id,outcome,dti,borrower_score,payment_inc_ratio
31525,paid off,11.62,0.45,11.7425
34959,paid off,13.27,0.2,10.0546
27623,paid off,12.86,0.5,2.98576
44275,paid off,3.01,0.8,2.59615
11593,default,11.64,0.4,11.4516
20432,default,5.22,0.5,5.4784
17893,default,13.62,0.35,4.98068
23296,paid off,12.51,0.55,2.86044
39162,paid off,2.67,0.75,3.15823
22701,default,7.65,0.55,12.2145
31453,paid off,17.13,0.55,6.0009
4338,default,18.05,0.3,14.5118
1913,default,22.26,0.5,12.3945
9458,default,10.11,0.6,7.7268300000000005
389,default,9.26,0.3,6.00706
17975,default,24.47,0.2,13.2092
27553,paid off,12.8,0.65,11.4377
28814,paid off,17.41,0.65,5.6218900000000005
9751,default,18.08,0.35,9.01318
17972,default,27.94,0.5,2.9434299999999998
36507,paid off,10.43,0.35,12.1267
37594,paid off,4.7,0.4,10.315
23263,paid off,6.44,0.5,10.3219
22667,default,17.84,0.4,11.5579
40193,paid off,17.24,0.55,2.67084
2570,default,1.74,0.5,3.162
11864,default,24.54,0.6,9.927
36992,paid off,14.23,0.6,3.96991
19059,default,24.94,0.4,5.03481
1560,default,21.11,0.65,14.2437
10979,default,20.83,0.5,12.9859
12045,default,8.0,0.35,4.139869999999999
44095,paid off,3.93,0.5,17.4627
27792,paid off,15.68,0.4,10.1611
44239,paid off,10.1,0.65,4.3732
44855,paid off,6.17,0.75,9.16837
27838,paid off,15.95,0.6,6.33946
17329,default,27.86,0.2,12.9418
20150,default,25.16,0.55,3.83926
32865,paid off,7.88,0.6,7.9825800000000005
39626,paid off,13.7,0.3,22.6191
320,default,10.45,0.45,7.06985
3263,default,11.55,0.65,7.52902
8109,default,18.24,0.7,6.8164
29319,paid off,23.81,0.45,12.2553
44888,paid off,13.4,0.65,7.24258
39746,paid off,7.44,0.6,5.42753
19564,default,20.79,0.55,22.115
27783,paid off,22.79,0.25,5.1622900000000005
26303,paid off,12.55,0.4,12.597999999999999
14559,default,15.89,0.25,6.8892
41113,paid off,6.68,0.65,7.7102
41668,paid off,8.86,0.5,10.3917
41374,paid off,9.65,0.4,12.7766
23438,paid off,11.69,0.6,4.931080000000001
13706,default,16.71,0.3,7.14653
37868,paid off,9.19,0.4,9.057269999999999
26245,paid off,19.0,0.5,2.83967
19745,default,1.81,0.45,3.58221
4581,default,16.46,0.6,19.8697
33236,paid off,16.9,0.5,12.5162
41714,paid off,20.92,0.45,16.1361
8070,default,17.64,0.15,4.56918
1157,default,20.6,0.55,2.492
39431,paid off,4.57,0.65,12.8105
19227,default,9.51,0.45,6.50486
29249,paid off,4.88,0.4,14.6031
10795,default,9.07,0.35,8.68467
1142,default,10.06,0.45,6.48754
993,default,21.07,0.45,13.4654
27494,paid off,9.9,0.65,7.457610000000001
4167,default,4.32,0.3,19.3852
12112,default,14.68,0.35,5.469180000000001
27618,paid off,17.82,0.6,14.654000000000002
21997,default,2.0,0.55,3.72225
38383,paid off,16.8,0.45,15.1014
12673,default,15.83,0.5,18.7884
7911,default,22.91,0.6,2.96168
22440,default,16.11,0.55,8.29323
27434,paid off,21.27,0.6,11.794
26268,paid off,19.28,0.45,3.31511
24745,paid off,27.5,0.5,15.6117
36080,paid off,1.22,0.6,9.04786
27065,paid off,7.58,0.55,3.31895
38379,paid off,15.7,0.45,4.0378
29021,paid off,27.36,0.5,10.6959
41079,paid off,11.91,0.6,8.5536
15656,default,34.42,0.25,14.2227
30248,paid off,3.73,0.75,1.82505
16157,default,21.74,0.35,16.7124
34954,paid off,4.61,0.75,3.40907
42578,paid off,8.42,0.5,1.43438
45092,paid off,17.8,0.6,7.9847
4765,default,7.8,0.65,26.3774
39193,paid off,20.43,0.5,0.6204350000000001
19345,default,15.72,0.55,5.67686
44579,paid off,14.54,0.55,4.95716
629,default,22.66,0.4,11.9713
15118,default,28.83,0.35,15.8037
28297,paid off,1.4,0.75,6.322830000000001
10153,default,34.8,0.4,4.979
35831,paid off,19.31,0.65,3.50976
32158,paid off,23.89,0.35,14.4332
33640,paid off,11.24,0.45,2.63793
37830,paid off,17.33,0.6,4.57867
5628,default,20.82,0.4,7.02986
4865,default,14.46,0.6,13.5671
27649,paid off,31.97,0.65,12.7082
27863,paid off,7.37,0.7,3.39382
11507,default,22.77,0.45,10.4489
41403,paid off,4.08,0.35,12.7198
40296,paid off,34.5,0.6,17.1074
2269,default,3.71,0.7,17.6285
493,default,23.16,0.4,16.7333
40146,paid off,31.46,0.55,6.0208900000000005
5290,default,3.83,0.7,1.54892
27603,paid off,23.75,0.5,11.1064
28927,paid off,28.84,0.55,15.2285
33497,paid off,9.75,0.6,9.1833
18841,default,17.73,0.4,11.9376
34926,paid off,26.04,0.5,2.6748
19583,default,29.74,0.7,13.5303
14273,default,24.87,0.35,11.0149
5502,default,15.82,0.6,5.84483
6976,default,28.35,0.55,14.4017
24286,paid off,3.55,0.55,6.27051
14117,default,16.06,0.55,9.8388
11029,default,9.56,0.6,15.0589
11003,default,7.61,0.35,13.4329
20424,default,13.59,0.4,6.8579
26142,paid off,26.27,0.65,6.85872
45466,paid off,5.72,0.4,4.2945
29768,paid off,17.19,0.5,8.53174
1749,default,13.16,0.65,18.3491
43574,paid off,13.23,0.55,11.638
26467,paid off,18.03,0.4,8.899980000000001
6730,default,13.29,0.6,9.68083
38474,paid off,27.59,0.35,13.4203
5541,default,24.55,0.4,10.6685
13459,default,15.37,0.65,15.6452
9284,default,26.71,0.55,5.013999999999999
4194,default,20.63,0.45,5.455
31450,paid off,10.8,0.5,8.2476
37956,paid off,13.11,0.7,8.3316
45110,paid off,23.04,0.45,2.40163
32929,paid off,9.29,0.35,6.38013
14373,default,16.28,0.6,11.8099
31643,paid off,33.23,0.4,5.655390000000001
11290,default,7.02,0.5,7.96064
14741,default,32.65,0.45,14.047
39443,paid off,19.21,0.5,4.016
34126,paid off,16.29,0.5,4.97984
8842,default,20.28,0.45,10.3618
10410,default,21.74,0.55,5.82531
23499,paid off,20.15,0.45,7.90636
22809,default,10.62,0.4,11.5608
10218,default,24.94,0.5,5.96382
42581,paid off,8.74,0.65,4.58914
40772,paid off,16.53,0.45,13.1003
36798,paid off,20.46,0.45,15.525
41018,paid off,23.65,0.45,5.80435
3666,default,14.5,0.6,3.187
59,default,21.83,0.5,12.4035
26427,paid off,19.15,0.65,1.34023
24184,paid off,13.73,0.35,12.6484
22504,default,17.43,0.35,8.1165
19981,default,16.3,0.5,10.9215
30471,paid off,19.3,0.55,16.7572
27737,paid off,21.34,0.5,10.3997
39988,paid off,34.13,0.25,18.4214
38195,paid off,14.82,0.25,7.82267
24915,paid off,13.77,0.65,6.80795
42037,paid off,3.94,0.5,8.0856
45341,paid off,16.45,0.55,2.14863
21850,default,24.7,0.55,6.32418
14903,default,10.13,0.55,9.015089999999999
9707,default,26.91,0.75,13.2818
30621,paid off,16.49,0.75,14.2334
11442,default,29.04,0.3,8.44104
2591,default,18.9,0.45,5.0680000000000005
26799,paid off,9.86,0.45,9.38712
22084,default,26.79,0.5,3.97914
18971,default,21.69,0.4,8.35957
8777,default,20.72,0.3,14.2325
18115,default,24.55,0.45,15.0464
33954,paid off,18.61,0.7,7.4994
30521,paid off,2.76,0.6,16.0556
19122,default,22.96,0.3,4.435
42444,paid off,11.19,0.55,7.47885
28657,paid off,14.79,0.45,3.8595699999999997
20985,default,16.91,0.4,9.94594
42932,paid off,25.14,0.4,3.3478199999999996
15132,default,23.86,0.8,11.5867
40461,paid off,12.25,0.65,2.4128
23281,paid off,13.61,0.65,11.6345
825,default,0.22,0.45,9.70171
24032,paid off,20.33,0.5,8.330639999999999
1442,default,15.0,0.45,7.8366
40173,paid off,4.24,0.65,12.0472
3316,default,9.16,0.7,5.431830000000001
22672,default,21.58,0.45,8.80175
9337,default,20.28,0.35,13.6681
7497,default,13.33,0.6,15.2208
43939,paid off,29.57,0.7,4.41514
43984,paid off,7.41,0.6,4.8274
9808,default,31.52,0.25,14.9893
22030,default,3.95,0.35,8.41493
10802,default,29.65,0.5,12.7859
1623,default,16.22,0.4,6.2641599999999995
6384,default,22.94,0.45,11.8157
45256,paid off,12.11,0.6,1.79208
42343,paid off,10.55,0.55,4.93975
1182,default,14.98,0.7,2.8408
44005,paid off,11.16,0.45,6.88157
512,default,10.93,0.25,6.175680000000001
40319,paid off,17.85,0.65,4.14344
25641,paid off,18.46,0.65,8.3552
44213,paid off,21.65,0.7,3.4176900000000003
15519,default,14.12,0.4,7.466810000000001
5125,default,6.9,0.45,3.23067
18488,default,8.5,0.3,6.66822
22974,default,15.14,0.4,6.81315
24318,paid off,21.74,0.4,12.8332
1608,default,21.83,0.4,3.45117
6310,default,17.04,0.55,18.252
31902,paid off,12.28,0.45,7.51214
39462,paid off,11.05,0.45,3.56463
33688,paid off,20.49,0.6,9.520439999999999
25512,paid off,6.3,0.8,2.93329
31364,paid off,11.43,0.4,3.91871
7313,default,10.52,0.3,11.3684
32748,paid off,17.16,0.65,2.22768
23426,paid off,15.44,0.35,11.052
14946,default,27.47,0.45,8.54583
18091,default,6.85,0.65,10.6469
6528,default,21.8,0.7,7.89548
18702,default,20.96,0.6,15.2179
33296,paid off,22.22,0.7,1.8262
3601,default,7.86,0.45,10.5562
32682,paid off,17.34,0.45,9.39172
28425,paid off,21.9,0.55,2.35527
26565,paid off,6.18,0.6,3.42268
9564,default,14.25,0.35,5.1689
23138,paid off,20.0,0.55,6.5328
12119,default,8.61,0.55,5.8128
44995,paid off,21.65,0.4,10.8477
16413,default,18.02,0.35,14.4902
1694,default,11.63,0.45,4.01591
4267,default,19.62,0.4,13.1492
9027,default,7.2,0.65,4.0832
6952,default,13.5,0.45,9.46525
8028,default,17.37,0.45,8.74548
9725,default,22.63,0.5,11.0157
40322,paid off,15.92,0.55,4.3864
13767,default,20.81,0.45,1.8685900000000002
26774,paid off,16.91,0.5,14.5938
42784,paid off,20.33,0.4,2.31257
34119,paid off,22.81,0.7,7.86265
13039,default,14.9,0.55,10.4258
37858,paid off,19.73,0.45,6.69671
7766,default,3.26,0.55,4.9814
21887,default,27.44,0.35,6.8839999999999995
38575,paid off,29.92,0.8,3.10272
38270,paid off,18.53,0.4,1.74975
26562,paid off,13.51,0.8,1.2684600000000001
19338,default,21.08,0.6,18.7267
4887,default,4.25,0.65,7.114039999999999
4399,default,8.49,0.55,3.7065300000000003
22998,default,11.09,0.4,11.0899
38004,paid off,10.03,0.3,6.86583
2393,default,25.5,0.35,2.32625
32360,paid off,19.6,0.4,14.722999999999999
5969,default,12.27,0.55,13.6237
11951,default,19.82,0.4,2.2271099999999997
15791,default,22.32,0.55,8.3847
13607,default,33.63,0.4,18.9266
5558,default,14.2,0.3,2.19975
26019,paid off,10.12,0.4,3.50452
3331,default,15.69,0.45,3.1193
44670,paid off,9.07,0.8,12.4181
25599,paid off,15.0,0.55,14.7456
19776,default,18.46,0.3,5.03748
9454,default,17.27,0.4,12.1857
32654,paid off,15.74,0.6,3.321
36616,paid off,12.91,0.5,11.5172
30369,paid off,20.7,0.45,4.7435599999999996
6643,default,27.56,0.3,6.8036
15513,default,20.31,0.45,10.1241
14662,default,22.96,0.6,7.19192
8575,default,3.26,0.5,1.01851
6724,default,24.99,0.35,10.2
24403,paid off,14.96,0.4,1.35106
20710,default,14.37,0.2,13.3586
31756,paid off,10.77,0.5,10.1669
45506,paid off,13.68,0.4,7.8722
41398,paid off,2.0,0.6,3.60836
36893,paid off,21.65,0.55,9.02328
32089,paid off,13.76,0.7,11.7677
29575,paid off,23.1,0.35,17.1497
14714,default,19.58,0.45,12.2528
38198,paid off,24.4,0.4,4.3794
32826,paid off,22.09,0.6,7.72842
30663,paid off,31.14,0.55,9.29468
30325,paid off,25.38,0.3,12.1161
5523,default,13.36,0.6,6.1593800000000005
33812,paid off,3.3,0.65,4.8146
19895,default,16.41,0.5,2.39527
27743,paid off,13.33,0.55,5.4589
19795,default,11.63,0.5,1.85257
24076,paid off,23.38,0.55,4.0197400000000005
5986,default,25.03,0.5,4.0502400000000005
6308,default,16.67,0.55,11.9562
44369,paid off,23.64,0.4,11.4246
25400,paid off,12.4,0.65,4.633
44535,paid off,24.17,0.6,6.48681
42230,paid off,20.83,0.3,6.2946
42334,paid off,17.16,0.55,9.61636
35940,paid off,12.0,0.35,11.1455
42842,paid off,6.0,0.6,5.841069999999999
21722,default,16.9,0.65,5.21957
42960,paid off,20.69,0.55,2.96373
37107,paid off,16.64,0.45,7.910889999999999
21129,default,26.72,0.35,8.20461
25279,paid off,11.3,0.45,7.129010000000001
34535,paid off,14.84,0.6,2.34424
14821,default,5.72,0.35,18.4406
15317,default,11.8,0.35,5.13325
35079,paid off,15.74,0.45,3.3586300000000002
41331,paid off,30.32,0.6,7.0848
8749,default,4.4,0.6,2.728
24515,paid off,32.95,0.6,10.4492
32648,paid off,11.33,0.25,4.8756
8187,default,29.56,0.4,11.4334
24929,paid off,24.28,0.7,11.294
11167,default,2.79,0.6,6.992310000000001
24070,paid off,13.4,0.5,13.4886
15877,default,27.56,0.4,3.8568599999999997
37751,paid off,20.56,0.6,7.486669999999999
14616,default,32.32,0.65,8.05246
13588,default,21.24,0.4,1.9710400000000001
38137,paid off,2.51,0.45,5.06205
7809,default,7.3,0.5,3.02107
21200,default,13.04,0.55,4.94912
36236,paid off,25.62,0.55,6.43826
23712,paid off,19.99,0.5,4.62795
5161,default,7.31,0.5,3.97765
35235,paid off,18.21,0.65,7.71173
5194,default,8.79,0.45,15.5629
32892,paid off,26.44,0.55,5.02311
20490,default,11.24,0.5,8.68167
13854,default,15.39,0.45,13.8847
39569,paid off,23.64,0.65,5.57578
398,default,20.62,0.65,10.0385
46040,paid off,8.36,0.45,8.09928
20930,default,16.23,0.45,4.65343
8905,default,21.15,0.4,6.9732
42381,paid off,21.81,0.2,4.27535
34585,paid off,5.48,0.5,7.24706
40076,paid off,14.55,0.25,19.1007
37124,paid off,12.8,0.5,9.44192
14927,default,9.48,0.45,5.2647
27362,paid off,6.34,0.6,5.9944
31595,paid off,3.8,0.7,3.68445
15593,default,16.67,0.55,13.499
3822,default,7.66,0.45,7.34477
635,default,8.86,0.45,5.8584
27062,paid off,5.98,0.7,3.03273
1153,default,16.95,0.4,4.75025
36328,paid off,11.65,0.45,6.47904
23576,paid off,4.34,0.5,12.6034
7250,default,24.43,0.6,12.8755
27581,paid off,18.67,0.55,7.688039999999999
14904,default,21.07,0.5,7.32976
14576,default,17.66,0.45,10.1666
21258,default,18.28,0.3,12.5124
16411,default,18.37,0.5,12.048
14987,default,17.98,0.4,5.1534
14651,default,18.98,0.35,1.01111
29709,paid off,11.5,0.5,8.94425
25877,paid off,9.34,0.45,4.414969999999999
23675,paid off,16.53,0.45,3.17662
30841,paid off,14.4,0.6,12.5889
38815,paid off,10.32,0.65,2.94086
35051,paid off,8.58,0.3,5.52232
